facetID,X,Y,Z,x1,y1,z1,x2,y2,z2,x3,y3,z3
16721,0.339432,-0.869029,-0.359964,29.8582,16.4145,9.4769,28.1728,16.0893,8.67274,29.8582,16.8266,8.48203
16722,0.339433,-0.869029,-0.359964,29.8582,18.308,4.90561,31.5437,18.6332,5.70977,29.8582,17.7733,6.19638
16723,0.339433,-0.869029,-0.359963,31.5437,18.3659,6.35516,29.8582,17.7733,6.19638,31.5437,18.6332,5.70977
16724,0.339433,-0.869029,-0.359964,33.2291,18.9584,6.51393,34.9146,19.2836,7.31809,33.2291,18.4238,7.80471
16725,0.339432,-0.869029,-0.359964,34.9146,19.0163,7.96348,33.2291,18.4238,7.80471,34.9146,19.2836,7.31809
16726,0.339433,-0.869029,-0.359964,29.8582,17.7733,6.19638,31.5437,18.0985,7.00055,29.8582,17.2387,7.48716
16727,0.339433,-0.869029,-0.359964,31.5437,17.8312,7.64593,29.8582,17.2387,7.48716,31.5437,18.0985,7.00055
16728,0.339433,-0.746252,-0.57262,24.8019,13.4121,10.3924,26.4873,13.8459,10.8262,24.8019,13.0843,10.8196
16729,0.339433,-0.746252,-0.57262,26.4873,13.1904,11.6805,24.8019,13.0843,10.8196,26.4873,13.8459,10.8262
16730,0.339433,-0.746252,-0.572619,28.1728,14.2797,11.26,29.8582,14.7134,11.6937,28.1728,13.9519,11.6871
16731,0.339433,-0.746252,-0.572619,29.8582,14.0579,12.5481,28.1728,13.9519,11.6871,29.8582,14.7134,11.6937
16732,0.339433,-0.746252,-0.572619,28.1728,13.6241,12.1143,29.8582,14.0579,12.5481,28.1728,13.2964,12.5414
16733,0.339433,-0.746252,-0.572619,29.8582,13.4024,13.4024,28.1728,13.2964,12.5414,29.8582,14.0579,12.5481
16734,0.339433,-0.746252,-0.572619,29.8582,16.4145,9.4769,31.5437,16.5205,10.3378,29.8582,15.564,10.5853
16735,0.339433,-0.746252,-0.572619,31.5437,16.0952,10.892,29.8582,15.564,10.5853,31.5437,16.5205,10.3378
16736,0.339433,-0.746252,-0.572619,33.2291,16.6265,11.1988,34.9146,16.7325,12.0597,33.2291,15.776,12.3072
16737,0.339432,-0.746252,-0.572619,34.9146,16.3072,12.6139,33.2291,15.776,12.3072,34.9146,16.7325,12.0597
16738,0.339433,-0.746252,-0.572619,29.8582,15.564,10.5853,31.5437,15.67,11.4463,29.8582,14.7134,11.6937
16739,0.339433,-0.746252,-0.572619,31.5437,15.2447,12.0005,29.8582,14.7134,11.6937,31.5437,15.67,11.4463
16740,0.339433,-0.57262,-0.746252,24.8019,10.2654,13.5096,26.4873,10.5721,14.0409,24.8019,9.8382,13.8374
16741,0.339433,-0.572619,-0.746252,26.4873,9.71777,14.6964,24.8019,9.8382,13.8374,26.4873,10.5721,14.0409
16742,0.339433,-0.572619,-0.746252,28.1728,10.8788,14.5721,29.8582,11.1855,15.1034,28.1728,10.4517,14.8999
16743,0.339433,-0.572619,-0.746253,29.8582,10.3312,15.7589,28.1728,10.4517,14.8999,29.8582,11.1855,15.1034
16744,0.339433,-0.572619,-0.746253,28.1728,10.0245,15.2277,29.8582,10.3312,15.7589,28.1728,9.59734,15.5554
16745,0.339433,-0.572619,-0.746252,29.8582,9.4769,16.4145,28.1728,9.59734,15.5554,29.8582,10.3312,15.7589
16746,0.339433,-0.572619,-0.746252,29.8582,13.4024,13.4024,31.5437,13.2819,14.2614,29.8582,12.294,14.2529
16747,0.339433,-0.572619,-0.746252,31.5437,12.7277,14.6867,29.8582,12.294,14.2529,31.5437,13.2819,14.2614
16748,0.339433,-0.57262,-0.746252,33.2291,13.1615,15.1204,34.9146,13.0411,15.9795,33.2291,12.0531,15.971
16749,0.339433,-0.572619,-0.746252,34.9146,12.4869,16.4047,33.2291,12.0531,15.971,34.9146,13.0411,15.9795
16750,0.339433,-0.572619,-0.746253,29.8582,12.294,14.2529,31.5437,12.1735,15.1119,29.8582,11.1855,15.1034
16751,0.339433,-0.572619,-0.746252,31.5437,11.6193,15.5372,29.8582,11.1855,15.1034,31.5437,12.1735,15.1119
16752,0.339433,-0.359962,-0.86903,24.8019,6.41903,15.7061,26.4873,6.5778,16.2987,24.8019,5.92159,15.9122
